"station","hour_of_day","avg_availability","avg_delta"
39,14,7.91,0.64
39,15,10.04,2.13
39,16,12.68,2.64
39,17,16.05,3.37
39,18,16.12,0.64
39,19,15.90,-0.22
39,20,13.85,-1.79
39,21,11.75,-2.09
39,22,10.67,-1.09
39,23,10.52,-0.15
40,0,16.15,-0.43
40,1,15.49,-0.57
40,2,14.34,-1.87
40,3,13.77,-0.57
40,4,13.18,-0.47
40,5,13.01,-0.30
40,6,13.49,0.48
40,7,15.63,1.99
40,8,15.46,-0.17
40,9,14.05,-1.40
40,10,12.44,-1.62
40,11,11.59,-0.85
40,12,11.60,0.01
40,13,11.03,-0.57
40,14,9.61,-1.42
40,15,7.87,-1.74
40,16,9.22,1.35
40,17,11.38,2.17
40,18,12.91,1.55
40,19,13.78,0.87
40,20,14.26,0.70
40,21,14.69,0.44
40,22,15.10,0.41
40,23,14.71,-0.39
41,0,30.01,0.03
41,1,29.20,-0.77
41,2,28.58,-0.39
41,3,28.32,-0.26
41,4,27.94,-0.27
41,5,27.44,-0.61
41,6,25.15,-2.29
41,7,19.93,-5.35
41,8,12.22,-7.71
41,9,10.08,-2.15
41,10,9.49,-0.59
41,11,8.73,-0.75
41,12,8.55,-0.18
41,13,7.85,-0.70
41,14,8.15,0.30
41,15,10.87,2.72
41,16,16.20,5.33
41,17,22.35,6.15
41,18,25.65,3.51
41,19,25.90,0.25
41,20,26.65,0.73
41,21,28.46,1.81
41,22,29.53,1.07
41,23,29.23,-0.30
42,0,9.94,-1.23
42,1,8.35,-1.69
42,2,7.78,-1.05
42,3,7.36,-0.42
42,4,7.19,-0.10
42,5,6.85,-0.42
42,6,5.99,-0.86
42,7,4.17,-1.80
42,8,3.72,-0.45
42,9,3.72,-0.01
42,10,3.78,0.06
42,11,4.04,0.26
42,12,4.66,0.62
42,13,4.26,-0.40
42,14,4.36,0.10
42,15,4.46,0.10
42,16,5.18,0.71
42,17,6.03,0.85
42,18,7.11,1.32
42,19,7.85,0.74
42,20,9.82,1.95
42,21,10.39,0.57
42,22,10.95,0.56
42,23,11.17,0.22
43,0,6.35,-0.07
43,1,5.41,-0.91
43,2,5.20,-0.38
43,3,5.04,-0.16
43,4,4.80,-0.17
43,5,3.99,-0.87
43,6,2.57,-1.42
43,7,1.50,-1.18
43,8,1.21,-0.29
43,9,1.80,0.59
43,10,1.79,-0.01
43,11,1.61,-0.18
43,12,2.57,0.97
43,13,2.15,-0.42
43,14,2.97,0.82
43,15,3.42,0.44
43,16,3.56,0.15
43,17,4.01,0.45
43,18,4.25,0.17
43,19,4.77,0.53
43,20,6.30,1.48
43,21,7.61,1.30
43,22,7.52,-0.09
43,23,7.30,-0.22
44,0,5.04,-1.90
44,1,3.59,-1.54
44,2,3.60,0.13
44,3,3.48,-0.12
44,4,3.70,0.27
44,5,3.75,0.01
44,6,3.60,-0.15
44,7,2.11,-1.44
44,8,1.68,-0.43
44,9,2.04,0.36
44,10,2.08,0.05
44,11,2.57,0.48
44,12,2.63,0.07
44,13,3.24,0.61
44,14,5.45,2.21
44,15,5.73,0.28
44,16,5.42,-0.32
44,17,5.26,-0.16
44,18,5.56,0.24
44,19,7.01,1.45
44,20,7.93,0.98
44,21,7.27,-0.66
44,22,5.75,-1.52
44,23,5.19,-0.56
45,0,7.02,-0.72
45,1,6.05,-0.95
45,2,5.82,-0.05
45,3,5.87,0.05
45,4,5.44,-0.41
45,5,4.36,-1.10
45,6,3.47,-0.90
45,7,2.38,-1.18
45,8,2.40,0.02
45,9,2.41,0.01
45,10,1.66,-0.75
45,11,1.87,0.21
45,12,2.97,1.10
45,13,3.15,0.18
45,14,4.08,0.93
45,15,3.31,-0.77
45,16,3.43,0.13
45,17,3.91,0.48
45,18,4.84,0.87
45,19,6.54,1.70
45,20,6.63,0.16
45,21,6.95,0.32
45,22,7.17,0.22
45,23,6.57,-0.60
46,0,5.29,0.20
46,1,4.88,-0.30
46,2,4.80,0.08
46,3,4.91,0.11
46,4,4.70,-0.12
46,5,4.37,-0.42
46,6,3.07,-1.30
46,7,1.65,-1.57
46,8,1.25,-0.41
46,9,1.17,-0.08
46,10,1.46,0.29
