Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h)
2017,4,26,21:00,UTC,0
2017,4,26,22:00,UTC,0
2017,4,26,23:00,UTC,0
2017,4,27,00:00,UTC,0
2017,4,27,01:00,UTC,0
2017,4,27,02:00,UTC,0
2017,4,27,03:00,UTC,0
2017,4,27,04:00,UTC,0
2017,4,27,05:00,UTC,0
2017,4,27,06:00,UTC,0
2017,4,27,07:00,UTC,0
2017,4,27,08:00,UTC,0
2017,4,27,09:00,UTC,0
2017,4,27,10:00,UTC,0
2017,4,27,11:00,UTC,0
2017,4,27,12:00,UTC,0
2017,4,27,13:00,UTC,0
2017,4,27,14:00,UTC,0
2017,4,27,15:00,UTC,0
2017,4,27,16:00,UTC,0
2017,4,27,17:00,UTC,0
2017,4,27,18:00,UTC,0
2017,4,27,19:00,UTC,0
2017,4,27,20:00,UTC,0
2017,4,27,21:00,UTC,0
2017,4,27,22:00,UTC,0
2017,4,27,23:00,UTC,0
2017,4,28,00:00,UTC,0
2017,4,28,01:00,UTC,0
2017,4,28,02:00,UTC,0
2017,4,28,03:00,UTC,0
2017,4,28,04:00,UTC,0
2017,4,28,05:00,UTC,0
2017,4,28,06:00,UTC,0
2017,4,28,07:00,UTC,0
2017,4,28,08:00,UTC,0
2017,4,28,09:00,UTC,0
2017,4,28,10:00,UTC,0
2017,4,28,11:00,UTC,0
2017,4,28,12:00,UTC,0
2017,4,28,13:00,UTC,0
2017,4,28,14:00,UTC,0
2017,4,28,15:00,UTC,0
2017,4,28,16:00,UTC,0
2017,4,28,17:00,UTC,0
2017,4,28,18:00,UTC,0
2017,4,28,19:00,UTC,0
2017,4,28,20:00,UTC,0
2017,4,28,21:00,UTC,0
2017,4,28,22:00,UTC,0
2017,4,28,23:00,UTC,0
2017,4,29,00:00,UTC,0
2017,4,29,01:00,UTC,0
2017,4,29,02:00,UTC,0
2017,4,29,03:00,UTC,0
2017,4,29,04:00,UTC,0
2017,4,29,05:00,UTC,0
2017,4,29,06:00,UTC,0
2017,4,29,07:00,UTC,0
2017,4,29,08:00,UTC,0
2017,4,29,09:00,UTC,0
2017,4,29,10:00,UTC,0
2017,4,29,11:00,UTC,0
2017,4,29,12:00,UTC,0
2017,4,29,13:00,UTC,1.4
2017,4,29,14:00,UTC,1.7
2017,4,29,15:00,UTC,1.7
